id,이름,금액,브랜드
1,롬브로단로EDP,192000,딥디크
2,필로시코스EDP,239000,딥디크
3,베티베리오EDP,224000,딥디크
4,도손EDP,224000,딥디크
5,도손EDT,225000,딥디크
6,탐다오EDP,198000,딥디크
7,생제르망34번가EDP,329000,딥디크
8,플레르드뽀EDP,223000,딥디크
9,오로즈EDP,239000,딥디크
10,볼류트EDP,171000,딥디크
11,오드민떼EDP,329000,딥디크
12,오르페옹EDP,253000,딥디크
13,라임바질앤만다린EDC,179000,조말론
14,벨벳로즈앤오우드EDC,405000,조말론
15,우드세이지앤씨솔트EDC,160000,조말론
16,피오니앤블러쉬EDC,199000,조말론
17,잉글리쉬오크앤헤이즐넛EDC,207000,조말론
18,와일드블루벨EDC,195000,조말론
19,잉글리쉬페어앤프리지아EDC,179000,조말론
20,다크앰버앤진저릴리EDC,284000,조말론
21,발다프리크EDP,315000,바이레도
22,블랙샤프란EDP,262000,바이레도
23,모하비고스트EDP,241000,바이레도
24,선데이코롱EDP,465000,바이레도
25,오픈스카이EDP,429000,바이레도
26,아이즈클로즈드EDP,313000,바이레도
27,집시워터EDP,240000,바이레도
28,비블리오티크EDP,302000,바이레도
29,셀리어PARFUM,357000,바이레도
30,카사블랑카릴리PARFUM,295000,바이레도
31,휠EDP,115000,이솝
32,테싯EDP,118000,이솝
33,이더시스EDP,241000,이솝
34,마라케시EDP,195000,이솝
35,미라세티EDP,259000,이솝
36,에레미아EDP,177000,이솝
37,카르스트EDP,177000,이솝
38,블랙오키드EDP,229000,톰포드
39,느와드느와EDP,221000,톰포드
40,토바코바닐EDP,312000,톰포드
41,퍼킹패뷸러스EDP,829000,톰포드
42,그레이베티버EDP,365000,톰포드
43,투스칸레더EDP,629000,톰포드
44,오드우드EDP,438000,톰포드
45,에벤퓨메EDP,600000,톰포드
46,화이트스웨이드EDP,438000,톰포드
47,솔레이블랑EDP,671000,톰포드
48,로스트체리EDP,623000,톰포드
49,체리스모크EDP,598000,톰포드
50,로디베EDT,439000,프레데릭말
