"시도별","시점",03 의류 및 신발,이미용 및 미용시설,개인용 전기용품 및 미용용품,기초화장품,기능성화장품,색조화장품,12.3 기타 개인용품
"전국","2012",87.862,82.509,96.864,93.035,80.101,89.476,76.972
"전국","2013",90.431,85.402,98.563,94.115,91.991,89.479,81.195
"전국","2014",94.060,88.635,101.898,97.776,101.943,91.958,85.609
"전국","2015",95.317,90.624,103.651,99.302,102.585,94.838,92.175
"전국","2016",97.029,91.759,102.885,99.101,101.243,95.072,94.302
"전국","2017",98.082,93.359,100.433,99.706,100.279,97.838,96.298
"전국","2018",99.169,96.400,98.841,98.916,98.773,97.556,97.431
"전국","2019",99.270,98.585,99.065,99.820,97.350,100.033,99.505
"전국","2020",100.00,100.00,100.00,100.00,100.00,100.00,100.00
"전국","2021",100.56,101.21,101.09,99.87,104.97,101.88,99.34
"전국","2022",103.71,105.77,110.30,103.77,118.18,102.64,101.54
