회사명,title,날짜,지역
(주)유투바이오,(주)유투바이오 BT연구소 채용,~ 05/21(일),서울
(주)바스젠바이오,유전역학연구소 System biology 분석 연구원 (경력 1년 이상),채용시,서울
그래디언트바이오컨버전스,중개연구팀 오가노이드 연구원 모집,~ 05/18(목),서울
그래디언트바이오컨버전스,기반연구팀 마이크로바이옴 연구원 모집,~ 05/18(목),서울
한스컨설팅,강남 위치 위암 관련 디지털헬스케어기업 임상데이터분석 대리급,채용시,서울
(주)자이오넥스,AI기반 공급망관리(SCM) 솔루션 개발 컨설턴트 모집,채용시,서울
벡코씨알오(주),2023년도 BeccoCRO SAS Programmer 경력/신입 인재 채용,~ 05/07(일),서울
벡코씨알오(주),2023년도 상반기 의약품/의료기기 RA(인허가) 경력 인재 채용,~ 05/13(토),서울
한스컨설팅,강남 위치 위암환자 디지털헬스케어기업 임상통계,채용시,서울
(주)편강한방연구소,[편강한방연구소R&D] 연구개발 연구원 모집,~ 04/27(목),서울
(주)큐마인,RNA 치료제 (ASO/siRNA)개발 효능평가팀 연구원 모집,상시채용,서울
(주)인크로스,[SK그룹-인크로스] RPA 개발 및 운영(UiPath) 경력직 채용,~ 04/30(일),서울
벡코씨알오(주),임상DM (Data Review and Management) 경력/신입 채용,~ 05/07(일),서울
벡코씨알오(주),2023년도 BeccoCRO Statistician(STAT) 경력/신입 인재 채용,~ 05/07(일),서울
벡코씨알오(주),임상DM (Database Programming and Management) 경력/신입 채용,~ 05/07(일),서울
(주)신테카바이오,AI센터 클라우드 운영/개발팀 및 총무팀 직원 채용,~ 04/28(금),대전
(주)풀무원,풀무원 각 부문 경력•신입 모집,~ 05/01(월),충북
(주)뉴라클사이언스,"임상(CRA/CRM), QA 팀원 채용",~ 04/30(일),서울
교보생명보험(주),2023년 상반기 교보생명 경력사원 채용공고,~ 05/02(화),서울
메디컬아이피(주),[서울대병원 1호 스타트업] 2023 상반기 대규모 인재채용,오늘마감,서울
(주)제이엘케이,[병역특례] 인공지능연구원 (전문연구요원),채용시,서울
굿커리어,스타트기업 백엔드개발(병역특례 가능) 구함(굿커리어),~ 05/08(월),서울
(주)씨알에스큐브,OpenAI 연구/개발 담당 모집(전문연구요원 우대) 채용,~ 04/30(일),서울
