"주택유형별(1)","시점",전국,수도권,지방,6대광역시,5대광역시,9개도,8개도,서울,서울,서울,경기,경기,경기,경기,경기,경기,경기,경기,인천,부산,부산,부산,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
"주택유형별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,강북권역,강남권역,소계,경부1권,경부2권,서해안권,동부1권,동부2권,경의권,경원권,소계,소계,중부산권,동부산권,서부산권,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"종합","2014.01",62.1,61.5,62.6,66.7,68.3,60.4,58.9,60.4,61.1,59.8,62.2,64.6,63.1,64.6,59.1,50.9,61.8,58.0,61.6,67.5,66.4,67.1,69.9,68.6,72.9,66.0,67.1,50.7,58.7,57.6,54.6,62.9,58.9,59.2,59.4,62.9
"종합","2014.02",62.2,61.8,62.7,66.9,68.4,60.5,59.0,60.7,61.3,60.1,62.6,65.1,63.6,64.8,59.3,51.0,62.3,58.1,61.9,67.6,66.4,67.4,69.9,68.5,72.9,66.4,67.3,50.7,58.8,57.6,54.6,63.0,58.9,59.2,59.4,63.0
"종합","2014.03",62.4,62.1,62.7,67.0,68.5,60.7,59.0,60.9,61.5,60.2,62.9,65.5,63.9,65.1,59.6,51.1,62.6,58.3,62.4,67.7,66.5,67.5,70.0,68.5,73.0,66.6,67.3,50.5,58.9,57.6,54.7,63.0,58.9,59.1,59.5,63.0
"종합","2014.04",62.5,62.2,62.7,67.0,68.5,60.8,59.1,60.9,61.6,60.2,63.0,65.5,64.1,65.3,59.7,51.1,62.8,58.5,62.4,67.8,66.5,67.8,70.0,68.5,73.0,66.6,67.2,49.9,59.0,57.5,54.8,63.0,58.9,59.1,59.6,63.0
"종합","2014.05",62.5,62.2,62.8,67.1,68.5,60.8,59.1,61.0,61.7,60.2,63.1,65.6,64.2,65.4,59.8,51.1,62.8,58.5,62.5,67.8,66.5,67.9,70.0,68.6,73.0,66.6,67.0,49.5,59.0,57.5,54.8,63.1,58.9,59.1,59.6,63.0
"종합","2014.06",62.5,62.3,62.8,67.1,68.5,60.9,59.1,61.0,61.8,60.3,63.2,65.6,64.2,65.5,59.9,51.1,63.1,58.6,62.6,67.9,66.6,68.0,70.0,68.7,73.0,66.6,66.9,49.1,59.0,57.5,54.8,63.2,59.0,59.1,59.7,63.1
"종합","2014.07",62.6,62.4,62.7,67.1,68.5,60.9,59.1,61.1,61.9,60.3,63.4,65.8,64.5,65.7,60.1,51.2,63.4,58.7,62.7,67.9,66.6,68.0,70.0,68.7,73.0,66.5,66.7,48.5,59.0,57.3,54.8,63.2,59.0,59.0,59.7,63.1
"종합","2014.08",62.7,62.6,62.7,67.1,68.5,61.0,59.1,61.2,62.0,60.4,63.6,65.9,64.8,65.8,60.4,51.2,63.5,59.0,62.8,67.9,66.6,67.9,70.0,68.7,73.0,66.5,66.7,47.6,59.0,57.3,54.9,63.3,59.0,59.0,59.7,63.1
"종합","2014.09",62.7,62.7,62.7,67.2,68.5,61.1,59.1,61.2,62.1,60.4,63.7,66.0,65.0,65.9,60.5,51.1,63.6,59.1,62.9,67.8,66.6,67.9,70.0,68.7,73.0,66.5,66.6,46.7,59.0,57.3,55.0,63.3,59.1,59.0,59.7,63.1
"종합","2014.10",62.8,62.8,62.8,67.2,68.5,61.2,59.1,61.3,62.2,60.4,63.9,66.2,65.2,66.0,60.6,51.2,63.7,59.2,63.0,67.9,66.5,67.9,70.0,68.7,73.0,66.5,66.6,46.3,59.0,57.3,55.0,63.3,59.1,59.0,59.7,63.1
"종합","2014.11",62.9,63.0,62.8,67.2,68.5,61.3,59.1,61.5,62.5,60.6,64.1,66.4,65.4,66.2,60.8,51.5,64.0,59.2,63.2,67.9,66.5,68.1,69.9,68.6,73.1,66.5,66.5,46.2,59.0,57.4,55.1,63.4,59.1,58.9,59.7,63.1
"종합","2014.12",62.9,63.2,62.8,67.2,68.5,61.4,59.1,61.7,62.6,60.8,64.3,66.7,65.7,66.5,61.0,51.5,64.2,59.3,63.3,67.9,66.5,68.1,69.9,68.6,73.1,66.5,66.5,46.1,58.9,57.4,55.1,63.4,59.1,58.9,59.7,63.0
"종합","2015.01",63.2,63.4,63.0,67.3,68.6,61.7,59.4,61.9,62.8,61.1,64.6,67.1,65.9,66.6,61.2,51.4,65.0,59.4,63.4,68.0,66.8,68.1,70.0,68.7,73.2,66.5,66.7,48.9,58.9,57.5,55.5,63.8,60.0,58.9,60.1,63.4
"종합","2015.02",63.3,63.6,63.0,67.4,68.6,61.8,59.5,62.1,62.9,61.3,64.8,67.4,66.1,66.8,61.5,51.6,65.2,59.6,63.5,68.0,66.7,68.1,70.1,68.6,73.3,66.6,66.7,48.8,59.0,57.5,55.5,63.8,60.0,58.9,60.1,63.4
"종합","2015.03",63.4,63.8,63.0,67.4,68.6,61.9,59.5,62.2,63.1,61.5,65.0,67.7,66.2,67.0,61.8,51.7,65.5,59.7,63.7,68.1,66.7,68.2,70.1,68.7,73.2,66.6,66.6,48.8,59.0,57.6,55.6,63.8,60.1,58.9,60.1,63.4
