"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2006.01",294.6,383.7,131.8,521.3,562.6,295.0,763.9,376.2,416.4,151.2,174.0,177.0,115.5,188.0,127.2,-,308.7,100.6,118.4,131.9,90.1,73.9,95.1,142.7,114.9
"2006.02",248.2,333.6,127.9,471.6,540.7,300.4,760.0,350.8,398.4,153.1,169.7,174.1,112.9,178.3,124.7,-,273.4,101.8,120.2,129.0,89.6,72.5,97.3,130.1,107.8
"2006.03",269.4,355.5,127.1,501.2,551.6,310.1,813.4,368.7,406.8,150.1,166.8,176.3,113.3,173.8,124.9,-,286.9,100.1,119.1,124.4,86.8,71.6,97.3,132.9,112.4
"2006.04",251.9,324.1,125.8,451.1,534.3,307.9,758.6,364.6,380.1,146.1,166.2,179.9,115.0,180.6,130.7,-,275.2,100.8,113.5,126.3,89.1,73.1,96.9,124.8,109.9
"2006.05",240.3,305.5,123.6,418.3,516.5,311.2,697.1,364.4,363.9,144.9,164.2,180.0,110.8,176.1,133.6,-,268.7,99.8,111.8,121.7,88.0,74.0,97.2,123.7,109.5
"2006.06",215.2,279.2,121.5,382.0,479.2,301.9,652.5,345.9,345.6,142.8,162.7,183.4,111.3,164.8,132.4,-,248.8,96.9,124.3,123.6,89.0,76.0,99.3,123.7,126.3
"2006.07",212.7,273.1,122.9,372.3,473.3,301.7,658.5,340.5,346.5,146.8,162.8,185.9,112.0,160.0,130.5,-,240.1,99.0,129.7,127.3,91.0,77.4,98.1,123.9,116.0
"2006.08",226.6,282.5,126.0,389.6,479.0,302.6,693.5,365.3,356.6,147.7,165.3,188.0,112.1,159.4,139.5,-,243.8,100.3,127.2,129.7,94.2,78.2,103.1,126.2,127.1
"2006.09",258.9,313.9,129.1,431.9,514.4,313.2,757.4,382.9,387.2,147.1,165.0,187.2,114.7,168.5,146.8,-,265.8,98.4,123.7,130.2,93.6,77.0,101.9,135.2,120.9
"2006.10",306.2,363.1,133.3,494.3,578.6,330.1,825.3,396.8,434.0,151.5,169.4,194.5,115.2,176.7,150.7,-,307.2,98.6,120.7,128.1,96.4,78.7,104.6,137.7,131.1
"2006.11",260.9,320.8,139.8,428.3,553.7,318.0,760.8,360.8,403.7,159.8,173.1,193.3,116.5,177.3,159.2,-,282.0,95.8,122.8,130.7,97.1,78.9,106.3,157.4,129.1
"2006.12",242.8,322.5,137.7,450.8,524.2,320.5,795.7,381.4,394.6,160.1,172.4,192.4,117.4,173.6,165.3,-,272.1,95.7,119.5,126.1,100.5,77.7,107.2,143.5,127.5
"2007.01",202.6,281.4,131.9,398.9,510.6,320.0,664.2,369.4,368.5,155.0,166.1,192.3,117.4,161.1,170.6,-,250.4,99.3,120.1,129.9,100.9,84.2,103.3,135.6,122.8
"2007.02",200.6,286.0,129.5,414.7,536.3,324.3,693.4,371.2,381.6,156.0,163.0,194.4,117.6,156.5,163.6,-,251.5,100.4,121.5,129.3,99.4,83.4,106.4,131.6,121.6
"2007.03",207.4,288.0,129.1,410.2,520.9,327.7,708.4,384.2,393.8,156.7,162.7,193.2,115.1,155.8,161.7,-,252.8,97.7,117.6,127.8,96.7,82.0,104.4,129.7,120.1
"2007.04",209.1,292.0,129.5,421.8,585.4,332.7,712.5,371.5,407.8,151.7,162.1,201.8,115.7,164.5,169.1,-,259.5,98.1,117.4,128.1,97.0,80.5,104.8,129.6,124.7
"2007.05",213.3,305.1,126.1,465.0,576.1,335.9,801.1,372.5,419.2,149.6,162.4,207.0,113.9,153.4,155.8,-,271.2,96.8,112.0,127.9,95.0,78.2,102.5,126.7,137.0
"2007.06",241.0,326.9,133.8,486.0,611.1,354.5,814.3,395.7,437.5,156.7,164.2,213.1,117.7,165.3,165.1,-,283.7,98.4,129.5,133.5,97.1,82.4,105.9,137.1,120.7
"2007.07",236.6,316.3,140.0,454.8,586.8,354.4,772.1,411.0,422.6,160.7,166.7,219.2,117.9,162.0,167.2,-,274.4,98.9,121.4,131.2,100.1,86.1,107.3,173.9,127.1
"2007.08",227.5,309.6,132.3,445.0,613.7,360.4,724.5,401.1,420.8,157.8,165.3,224.9,117.7,158.4,164.8,-,271.7,100.7,114.9,125.3,98.2,84.0,106.9,137.2,132.4
