"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2014.01",263.6,303.5,178.2,391.5,445.9,329.1,480.5,367.2,356.7,206.7,203.7,181.6,166.5,201.8,207.5,175.1,249.7,126.0,126.2,165.9,150.0,124.2,151.0,182.2,155.0
"2014.02",261.4,299.7,173.0,384.6,438.0,328.9,473.8,366.9,355.2,203.1,207.5,186.1,159.1,196.7,202.1,155.4,249.1,124.0,120.6,161.8,146.6,123.2,143.8,180.2,160.3
"2014.03",256.0,292.9,172.5,380.9,423.5,327.7,472.6,364.9,350.9,203.1,205.8,180.8,161.9,190.7,200.4,146.8,241.3,125.4,119.7,157.5,141.6,120.9,142.4,182.2,146.9
"2014.04",256.8,293.9,173.1,383.4,420.4,330.8,470.5,364.9,350.6,202.7,210.2,183.9,158.7,185.2,201.1,136.1,238.8,122.2,123.7,162.5,143.7,120.8,142.0,183.5,173.0
"2014.05",258.9,295.0,174.9,382.9,436.9,325.9,475.7,374.7,347.3,206.6,215.5,184.9,164.6,185.2,205.9,137.1,240.2,121.8,136.9,163.0,142.2,120.0,141.3,180.2,159.7
"2014.06",260.8,299.4,176.4,388.7,426.1,333.8,482.8,372.8,349.0,209.3,222.3,187.1,171.2,187.8,197.1,136.6,242.2,122.3,148.3,162.4,140.3,116.2,145.5,183.1,178.0
"2014.07",263.4,301.9,178.2,392.6,433.0,335.0,485.9,377.4,351.6,213.1,215.9,188.8,171.1,189.0,200.6,131.5,243.2,124.6,163.9,168.7,146.0,118.4,149.8,185.1,182.2
"2014.08",267.1,305.8,178.7,397.3,442.7,337.5,492.3,390.3,357.3,215.1,224.9,191.2,165.1,191.3,206.5,129.1,247.9,129.5,162.4,170.4,151.0,119.1,143.7,187.4,185.2
"2014.09",267.9,306.7,180.8,395.4,425.4,338.1,485.4,392.1,359.6,213.2,229.5,193.2,172.7,188.0,201.3,130.4,251.4,125.9,158.0,167.3,146.2,118.9,150.4,191.8,203.8
"2014.10",273.3,315.0,181.9,405.1,429.8,341.6,499.1,392.4,369.6,214.7,232.1,192.5,175.3,185.7,205.7,135.5,258.4,128.8,160.0,168.6,146.3,120.9,151.5,192.8,178.7
"2014.11",278.3,323.1,185.3,413.8,446.5,343.3,511.7,399.5,375.6,217.7,232.4,196.3,177.8,195.5,201.2,144.5,264.0,127.2,162.4,173.0,146.9,117.1,159.5,192.6,181.6
"2014.12",292.5,338.8,190.7,427.9,451.8,351.8,526.1,401.4,387.2,220.9,244.3,203.8,182.5,200.4,214.5,146.2,273.6,125.3,164.7,177.2,152.0,115.4,159.3,195.4,181.5
"2015.01",286.7,334.1,190.3,424.3,453.5,355.2,523.0,398.6,388.0,225.0,245.4,209.1,184.8,198.8,209.5,146.9,273.4,133.4,167.7,179.1,148.2,123.5,166.2,195.9,191.4
"2015.02",287.5,333.0,189.2,422.7,463.5,354.7,515.6,396.2,391.4,224.2,249.7,207.6,181.4,197.6,214.7,151.8,272.0,129.0,161.1,178.9,148.1,113.1,162.4,199.0,197.7
"2015.03",282.7,326.3,188.0,419.5,455.7,357.3,519.9,393.8,384.5,219.0,248.5,207.4,182.0,191.8,205.7,146.6,268.8,128.1,160.5,175.1,149.8,115.9,157.9,196.1,197.6
"2015.04",282.3,326.6,190.4,422.8,474.5,359.0,520.3,400.4,390.9,224.8,248.9,212.4,176.0,192.7,205.3,149.3,270.8,130.3,163.1,177.3,146.8,118.9,158.0,197.4,177.7
"2015.05",287.8,334.4,192.6,431.9,463.5,366.8,534.6,409.8,400.1,227.0,246.5,219.4,181.7,193.3,212.2,146.5,278.0,131.4,162.4,176.2,152.3,117.7,160.5,201.7,187.7
"2015.06",291.9,341.1,195.3,438.5,485.9,368.4,543.8,407.3,410.1,230.0,258.7,223.2,187.0,197.3,211.6,149.4,284.4,127.5,163.3,176.4,143.0,130.0,165.4,201.0,209.7
"2015.07",298.6,349.7,196.2,449.6,473.1,374.4,552.9,419.0,414.9,230.6,261.7,231.6,189.7,197.2,206.0,152.1,290.4,130.4,158.4,182.0,150.7,122.4,164.7,204.8,215.1
"2015.08",300.0,350.7,198.5,452.8,485.4,379.6,554.1,438.8,420.6,231.5,273.1,234.2,190.9,200.6,215.6,156.3,291.9,132.8,162.7,179.9,149.6,126.2,166.5,203.9,225.2
"2015.09",302.4,356.1,200.9,461.6,497.0,389.0,571.1,435.2,431.6,237.1,275.8,248.8,190.3,197.7,221.5,158.9,296.4,136.8,166.2,180.8,160.1,123.0,172.0,209.6,194.4
"2015.10",309.9,364.5,207.2,470.7,510.0,394.3,578.8,444.2,439.7,244.7,273.7,247.7,191.6,203.8,223.4,167.2,304.1,144.4,166.1,185.8,165.5,132.4,170.1,213.7,246.2
"2015.11",315.8,376.2,209.9,484.0,513.0,405.7,591.3,453.3,448.4,252.3,272.4,257.1,197.0,212.5,230.5,177.8,311.4,147.7,169.6,183.3,166.4,132.6,172.3,215.5,244.3
"2015.12",327.3,391.2,212.8,495.1,543.5,412.4,605.7,460.7,460.9,249.8,269.2,254.2,204.2,217.8,232.4,192.6,323.6,152.8,173.6,185.8,172.5,132.2,174.8,218.5,236.5
"2016.01",320.1,385.0,211.0,492.9,536.8,411.1,604.9,463.9,459.6,258.4,257.5,258.0,204.9,218.9,232.4,201.2,324.6,152.7,179.6,184.4,178.3,139.3,177.2,219.6,255.6
"2016.02",315.2,378.7,205.8,483.2,514.6,407.4,600.2,456.5,452.2,254.4,257.0,255.8,205.5,212.4,230.5,205.4,319.2,149.5,169.6,185.3,169.5,130.5,170.2,214.9,222.4
"2016.03",311.0,366.6,204.4,470.9,522.9,402.4,574.6,470.1,441.3,250.8,247.5,250.6,197.3,212.5,229.2,215.9,310.8,153.9,169.6,178.5,164.8,130.0,166.4,211.9,290.2
"2016.04",314.1,371.0,207.2,481.6,542.7,410.3,593.4,467.7,442.9,251.3,246.1,250.9,208.4,212.0,232.1,215.7,312.8,156.8,174.4,182.7,161.1,139.3,165.8,211.9,247.1
"2016.05",320.7,378.6,205.8,485.1,525.1,413.5,587.0,465.2,452.9,256.0,244.4,249.8,209.4,213.5,232.2,228.1,317.1,153.2,170.6,175.3,162.5,131.5,158.5,218.2,261.8
"2016.06",327.4,384.7,210.7,498.3,526.5,418.6,610.6,480.3,462.0,263.3,241.1,256.1,209.3,218.9,231.6,225.4,321.6,161.5,171.3,179.1,177.4,146.3,163.6,214.7,254.9
"2016.07",330.4,388.8,211.0,497.2,540.5,416.9,598.5,484.8,463.4,268.0,235.1,266.8,215.0,217.8,232.7,229.5,327.3,164.2,173.4,179.3,171.6,139.9,162.1,211.5,276.5
